Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
17:00:14,0,1,1,1200.0g,0.00kg,TRACKED
17:00:14,0,2,2,233.0g,0.00kg,TRACKED
17:00:14,0,3,3,249.4g,0.00kg,TRACKED
17:00:14,0,4,4,344.6g,0.00kg,TRACKED
17:00:14,0,5,5,190.2g,0.00kg,TRACKED
17:00:14,0,6,6,100.0g,0.00kg,TRACKED
17:00:14,0,7,7,100.0g,0.00kg,TRACKED
17:00:14,0,8,8,100.0g,0.00kg,TRACKED
17:00:14,0,9,9,0.0g,0.00kg,TRACKED
17:00:14,0,10,10,0.0g,0.00kg,TRACKED
17:00:14,0,11,11,100.0g,0.00kg,TRACKED
17:00:14,0,12,12,100.0g,0.00kg,TRACKED
17:00:18,6,13,21,567.4g,3.55kg,TRACKED
17:00:19,8,14,32,142.2g,4.29kg,TRACKED
17:00:20,9,15,33,0.0g,4.59kg,TRACKED
17:00:21,10,16,36,100.0g,4.69kg,TRACKED
17:00:23,13,17,43,0.0g,5.01kg,TRACKED
17:00:26,18,18,49,0.0g,5.44kg,TRACKED
17:00:27,20,19,51,0.0g,6.74kg,TRACKED
17:00:29,23,20,65,0.0g,7.21kg,TRACKED
17:00:32,27,21,73,1200.0g,8.80kg,TRACKED
17:00:34,30,22,75,774.1g,10.14kg,TRACKED
17:00:35,32,23,80,100.0g,11.32kg,TRACKED
17:00:36,33,24,86,335.5g,11.41kg,TRACKED
17:00:43,44,25,104,256.3g,12.23kg,TRACKED
17:00:46,48,26,111,545.9g,12.48kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,26,TOTAL BIOMASS:,12.93kg
