Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
00:13:10,0,1,1,1200.0g,0.00kg,TRACKED
00:13:10,0,2,2,200.8g,0.00kg,TRACKED
00:13:10,0,3,3,277.2g,0.00kg,TRACKED
00:13:10,0,4,4,364.3g,0.00kg,TRACKED
00:13:10,0,5,5,186.5g,0.00kg,TRACKED
00:13:10,0,6,6,100.0g,0.00kg,TRACKED
00:13:10,0,7,7,100.0g,0.00kg,TRACKED
00:13:10,0,8,8,100.0g,0.00kg,TRACKED
00:13:10,0,9,9,0.0g,0.00kg,TRACKED
00:13:10,0,10,10,0.0g,0.00kg,TRACKED
00:13:10,0,11,11,100.0g,0.00kg,TRACKED
00:13:10,0,12,12,336.0g,0.00kg,TRACKED
00:13:12,2,13,14,1200.0g,5.51kg,TRACKED
00:13:12,2,14,15,310.7g,5.51kg,TRACKED
00:13:13,3,15,23,310.0g,6.50kg,TRACKED
00:13:16,5,16,27,1065.7g,6.68kg,TRACKED
00:13:21,10,17,36,0.0g,9.07kg,TRACKED
00:13:24,13,18,46,0.0g,9.87kg,TRACKED
00:13:24,13,19,47,0.0g,9.87kg,TRACKED
00:13:25,14,20,49,1200.0g,9.87kg,TRACKED
00:13:26,15,21,50,1200.0g,11.38kg,TRACKED
00:13:26,15,22,51,1200.0g,11.38kg,TRACKED
00:13:28,17,23,57,1036.8g,13.78kg,TRACKED
00:13:28,17,24,59,1149.7g,13.78kg,TRACKED
00:13:41,27,25,82,367.7g,15.68kg,TRACKED
00:13:47,31,26,89,786.6g,16.05kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,26,TOTAL BIOMASS:,16.70kg
