Timestamp,Frame,Total_Fish,Status
20:05:30,0,1,TRACKED
20:05:30,0,2,TRACKED
20:05:30,0,3,TRACKED
20:05:30,0,4,TRACKED
20:05:30,0,5,TRACKED
20:05:30,0,6,TRACKED
20:05:30,0,7,TRACKED
20:05:30,0,8,TRACKED
20:05:30,0,9,TRACKED
20:05:30,0,10,TRACKED
20:05:30,0,11,TRACKED
20:05:30,0,12,TRACKED
20:05:30,0,13,TRACKED
20:05:30,0,14,TRACKED
20:05:30,0,15,TRACKED
20:05:30,0,16,TRACKED
20:05:30,0,17,TRACKED
20:05:30,0,18,TRACKED
20:05:30,0,19,TRACKED
20:05:30,0,20,TRACKED
20:05:30,0,21,TRACKED
20:05:30,0,22,TRACKED
20:05:30,0,23,TRACKED
20:05:30,0,24,TRACKED
20:05:30,0,25,TRACKED
20:05:31,1,26,TRACKED
20:05:31,1,27,TRACKED
20:05:31,1,28,TRACKED
20:05:31,1,29,TRACKED
20:05:31,1,30,TRACKED
20:05:31,1,31,TRACKED
20:05:31,1,32,TRACKED
20:05:31,1,33,TRACKED
20:05:32,2,34,TRACKED
20:05:32,2,35,TRACKED
20:05:32,2,36,TRACKED
20:05:32,2,37,TRACKED
20:05:45,20,38,TRACKED
20:05:45,20,39,TRACKED
20:05:45,20,40,TRACKED
20:05:49,25,41,TRACKED
20:05:51,28,42,TRACKED
20:05:51,28,43,TRACKED
20:05:53,30,44,TRACKED
20:05:53,31,45,TRACKED
20:05:53,31,46,TRACKED
20:05:53,31,47,TRACKED
20:05:55,33,48,TRACKED
20:05:56,35,49,TRACKED
20:05:57,36,50,TRACKED
20:05:57,36,51,TRACKED
20:05:58,37,52,TRACKED
20:05:59,39,53,TRACKED
20:06:02,43,54,TRACKED
20:06:04,45,55,TRACKED
20:06:05,47,56,TRACKED
20:06:06,48,57,TRACKED
20:06:06,48,58,TRACKED
20:06:08,51,59,TRACKED
20:06:08,51,60,TRACKED
20:06:11,56,61,TRACKED
