Timestamp,Frame,Total_Fish,Status
20:05:48,0,1,TRACKING
20:05:48,0,2,TRACKING
20:05:48,0,3,TRACKING
20:05:48,0,4,TRACKING
20:05:48,0,5,TRACKING
20:05:48,0,6,TRACKING
20:05:48,0,7,TRACKING
20:05:48,0,8,TRACKING
20:05:48,0,9,TRACKING
20:05:48,0,10,TRACKING
20:05:48,0,11,TRACKING
20:05:48,0,12,TRACKING
20:05:53,8,13,TRACKING
20:05:54,9,14,TRACKING
20:05:55,11,15,TRACKING
20:05:55,11,16,TRACKING
20:06:01,19,17,TRACKING
20:06:03,22,18,TRACKING
20:06:05,26,19,TRACKING
20:06:06,27,20,TRACKING
20:06:06,27,21,TRACKING
20:06:06,27,22,TRACKING
20:06:07,28,23,TRACKING
20:06:09,32,24,TRACKING
20:06:09,32,25,TRACKING
20:06:11,35,26,TRACKING
20:06:12,36,27,TRACKING
20:06:14,39,28,TRACKING
20:06:14,39,29,TRACKING
20:06:17,43,30,TRACKING
20:06:18,44,31,TRACKING
20:06:20,48,32,TRACKING
20:06:22,51,33,TRACKING
