Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
23:16:04,0,1,1,1200.0g,0.00kg,TRACKED
23:16:04,0,2,2,200.8g,0.00kg,TRACKED
23:16:04,0,3,3,277.2g,0.00kg,TRACKED
23:16:04,0,4,4,364.3g,0.00kg,TRACKED
23:16:04,0,5,5,186.5g,0.00kg,TRACKED
23:16:04,0,6,6,100.0g,0.00kg,TRACKED
23:16:04,0,7,7,100.0g,0.00kg,TRACKED
23:16:04,0,8,8,100.0g,0.00kg,TRACKED
23:16:04,0,9,9,0.0g,0.00kg,TRACKED
23:16:04,0,10,10,0.0g,0.00kg,TRACKED
23:16:04,0,11,11,100.0g,0.00kg,TRACKED
23:16:04,0,12,12,336.0g,0.00kg,TRACKED
23:16:07,5,13,20,660.5g,4.55kg,TRACKED
23:16:09,8,14,35,0.0g,5.64kg,TRACKED
23:16:10,9,15,40,310.0g,5.80kg,TRACKED
23:16:12,12,16,47,0.0g,6.43kg,TRACKED
23:16:14,16,17,52,1200.0g,6.56kg,TRACKED
23:16:18,21,18,63,0.0g,8.31kg,TRACKED
23:16:21,26,19,79,0.0g,10.14kg,TRACKED
23:16:21,27,20,83,1200.0g,10.22kg,TRACKED
23:16:24,31,21,87,821.4g,11.90kg,TRACKED
23:16:25,32,22,88,310.0g,12.72kg,TRACKED
23:16:33,46,23,111,367.7g,14.00kg,TRACKED
23:16:36,50,24,118,786.6g,14.37kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,24,TOTAL BIOMASS:,15.02kg
