Timestamp,Frame,Total_Fish,ID,Weight,Status
19:45:49,0,1,1,182.4g,TRACKED
19:45:49,0,2,2,53.0g,TRACKED
19:45:49,0,3,3,64.6g,TRACKED
19:45:49,0,4,4,61.3g,TRACKED
19:45:49,0,5,5,46.7g,TRACKED
19:45:49,0,6,6,178.1g,TRACKED
19:45:49,0,7,7,297.6g,TRACKED
19:45:49,0,8,8,9.8g,TRACKED
19:45:49,0,9,9,84.1g,TRACKED
19:45:49,0,10,10,0.0g,TRACKED
19:45:49,0,11,11,19.3g,TRACKED
19:45:49,0,12,12,109.8g,TRACKED
19:45:49,0,13,13,249.4g,TRACKED
19:45:49,0,14,14,298.4g,TRACKED
19:45:49,0,15,15,20.1g,TRACKED
19:45:49,0,16,16,112.3g,TRACKED
19:45:49,0,17,17,7.7g,TRACKED
19:45:49,0,18,18,101.0g,TRACKED
19:45:49,0,19,19,0.0g,TRACKED
19:45:50,2,20,22,136.3g,TRACKED
19:45:53,6,21,61,224.5g,TRACKED
19:45:53,6,22,62,87.7g,TRACKED
19:45:54,7,23,63,268.1g,TRACKED
19:45:54,8,24,70,60.5g,TRACKED
19:45:56,10,25,78,11.9g,TRACKED
19:45:57,12,26,99,69.2g,TRACKED
19:45:57,12,27,103,65.6g,TRACKED
19:45:58,14,28,115,239.0g,TRACKED
19:45:58,14,29,117,107.6g,TRACKED
19:46:00,16,30,132,845.8g,TRACKED
19:46:00,17,31,140,75.8g,TRACKED
19:46:02,20,32,157,82.6g,TRACKED
19:46:02,20,33,161,118.2g,TRACKED
19:46:02,20,34,162,124.3g,TRACKED
19:46:04,23,35,178,76.9g,TRACKED
19:46:05,24,36,185,0.0g,TRACKED
19:46:05,24,37,186,0.0g,TRACKED
19:46:07,27,38,200,352.6g,TRACKED
19:46:09,30,39,220,0.0g,TRACKED
19:46:11,32,40,239,70.6g,TRACKED
19:46:11,32,41,243,0.0g,TRACKED
19:46:11,32,42,244,94.8g,TRACKED
19:46:13,35,43,250,0.0g,TRACKED
