Timestamp,Frame,Total_Fish,Status
14:10:25,0,1,TRACKING
14:10:25,0,2,TRACKING
14:10:25,0,3,TRACKING
14:10:25,0,4,TRACKING
14:10:25,0,5,TRACKING
14:10:25,0,6,TRACKING
14:10:25,0,7,TRACKING
14:10:25,0,8,TRACKING
14:10:25,0,9,TRACKING
14:10:25,0,10,TRACKING
14:10:25,0,11,TRACKING
14:10:25,0,12,TRACKING
14:10:29,6,13,TRACKING
14:10:32,10,14,TRACKING
14:10:40,22,15,TRACKING
14:10:41,24,16,TRACKING
14:10:43,27,17,TRACKING
14:10:43,28,18,TRACKING
14:10:46,33,19,TRACKING
14:10:46,33,20,TRACKING
14:10:54,46,21,TRACKING
14:10:57,50,22,TRACKING
