Timestamp,Frame,Total_Fish,Status
23:06:09,0,1,TRACKED
23:06:09,0,2,TRACKED
23:06:09,0,3,TRACKED
23:06:09,0,4,TRACKED
23:06:09,0,5,TRACKED
23:06:09,0,6,TRACKED
23:06:09,0,7,TRACKED
23:06:09,0,8,TRACKED
23:06:09,0,9,TRACKED
23:06:09,0,10,TRACKED
23:06:09,0,11,TRACKED
23:06:09,0,12,TRACKED
23:06:09,0,13,TRACKED
23:06:09,0,14,TRACKED
23:06:09,0,15,TRACKED
23:06:09,0,16,TRACKED
23:06:09,0,17,TRACKED
23:06:09,0,18,TRACKED
23:06:09,0,19,TRACKED
23:06:09,0,20,TRACKED
23:06:12,3,21,TRACKED
23:06:13,4,22,TRACKED
23:06:14,5,23,TRACKED
23:06:14,5,24,TRACKED
23:06:14,5,25,TRACKED
23:06:14,5,26,TRACKED
23:06:14,6,27,TRACKED
23:06:16,8,28,TRACKED
23:06:16,8,29,TRACKED
23:06:17,9,30,TRACKED
23:06:18,10,31,TRACKED
23:06:18,10,32,TRACKED
23:06:18,10,33,TRACKED
23:06:18,10,34,TRACKED
23:06:21,13,35,TRACKED
23:06:21,13,36,TRACKED
23:06:21,13,37,TRACKED
23:06:22,14,38,TRACKED
23:06:22,14,39,TRACKED
23:06:22,14,40,TRACKED
23:06:22,14,41,TRACKED
23:06:23,15,42,TRACKED
23:06:23,15,43,TRACKED
23:06:23,15,44,TRACKED
23:06:23,15,45,TRACKED
23:06:23,15,46,TRACKED
23:06:24,16,47,TRACKED
23:06:25,17,48,TRACKED
23:06:26,18,49,TRACKED
23:06:26,18,50,TRACKED
23:06:26,18,51,TRACKED
23:06:26,18,52,TRACKED
23:06:26,18,53,TRACKED
23:06:27,19,54,TRACKED
23:06:27,19,55,TRACKED
23:06:30,23,56,TRACKED
23:06:30,23,57,TRACKED
23:06:35,29,58,TRACKED
23:06:36,30,59,TRACKED
23:06:39,33,60,TRACKED
23:06:39,33,61,TRACKED
23:06:39,34,62,TRACKED
23:06:45,40,63,TRACKED
23:06:46,41,64,TRACKED
23:06:46,41,65,TRACKED
23:06:47,43,66,TRACKED
23:06:48,44,67,TRACKED
23:06:48,44,68,TRACKED
23:06:49,45,69,TRACKED
