Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
19:51:09,0,1,1,182.4g,0.00kg,TRACKED
19:51:09,0,2,2,53.0g,0.00kg,TRACKED
19:51:09,0,3,3,64.6g,0.00kg,TRACKED
19:51:09,0,4,4,61.3g,0.00kg,TRACKED
19:51:09,0,5,5,46.7g,0.00kg,TRACKED
19:51:09,0,6,6,178.1g,0.00kg,TRACKED
19:51:09,0,7,7,297.6g,0.00kg,TRACKED
19:51:09,0,8,8,9.8g,0.00kg,TRACKED
19:51:09,0,9,9,84.1g,0.00kg,TRACKED
19:51:09,0,10,10,0.0g,0.00kg,TRACKED
19:51:09,0,11,11,19.3g,0.00kg,TRACKED
19:51:09,0,12,12,109.8g,0.00kg,TRACKED
19:51:09,0,13,13,249.4g,0.00kg,TRACKED
19:51:09,0,14,14,298.4g,0.00kg,TRACKED
19:51:09,0,15,15,20.1g,0.00kg,TRACKED
19:51:09,0,16,16,112.3g,0.00kg,TRACKED
19:51:09,0,17,17,7.7g,0.00kg,TRACKED
19:51:09,0,18,18,101.0g,0.00kg,TRACKED
19:51:09,0,19,19,0.0g,0.00kg,TRACKED
19:51:10,2,20,22,136.3g,1.79kg,TRACKED
19:51:12,4,21,31,92.1g,1.95kg,TRACKED
19:51:13,5,22,42,327.9g,2.00kg,TRACKED
19:51:13,5,23,44,17.5g,2.00kg,TRACKED
19:51:13,6,24,52,78.2g,2.33kg,TRACKED
19:51:15,9,25,77,0.0g,2.49kg,TRACKED
19:51:16,10,26,80,47.5g,2.52kg,TRACKED
19:51:16,10,27,81,0.0g,2.52kg,TRACKED
19:51:17,11,28,85,263.3g,2.57kg,TRACKED
19:51:17,11,29,86,93.9g,2.57kg,TRACKED
19:51:19,14,30,109,263.3g,3.13kg,TRACKED
19:51:21,17,31,130,522.0g,3.21kg,TRACKED
19:51:23,20,32,150,0.0g,3.73kg,TRACKED
19:51:23,20,33,151,187.0g,3.73kg,TRACKED
19:51:23,20,34,153,125.4g,3.73kg,TRACKED
19:51:23,20,35,155,180.4g,3.73kg,TRACKED
19:51:26,25,36,178,0.0g,4.56kg,TRACKED
19:51:30,31,37,208,270.3g,4.70kg,TRACKED
19:51:30,31,38,210,0.0g,4.70kg,TRACKED
19:51:31,33,39,228,63.3g,5.03kg,TRACKED
19:51:32,34,40,235,37.7g,5.09kg,TRACKED
19:51:32,34,41,236,0.0g,5.09kg,TRACKED
19:51:32,34,42,237,354.3g,5.09kg,TRACKED
19:51:33,36,43,242,0.0g,5.54kg,TRACKED
19:51:35,39,44,245,137.6g,5.73kg,TRACKED
19:51:37,42,45,252,30.6g,5.94kg,TRACKED
