Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
16:25:25,0,1,1,182.4g,0.00kg,TRACKED
16:25:25,0,2,2,100.0g,0.00kg,TRACKED
16:25:25,0,3,3,100.0g,0.00kg,TRACKED
16:25:25,0,4,4,100.0g,0.00kg,TRACKED
16:25:25,0,5,5,100.0g,0.00kg,TRACKED
16:25:25,0,6,6,178.1g,0.00kg,TRACKED
16:25:25,0,7,7,297.6g,0.00kg,TRACKED
16:25:25,0,8,8,100.0g,0.00kg,TRACKED
16:25:25,0,9,9,100.0g,0.00kg,TRACKED
16:25:25,0,10,10,0.0g,0.00kg,TRACKED
16:25:25,0,11,11,100.0g,0.00kg,TRACKED
16:25:25,0,12,12,363.7g,0.00kg,TRACKED
16:25:25,0,13,13,826.3g,0.00kg,TRACKED
16:25:25,0,14,14,988.7g,0.00kg,TRACKED
16:25:25,0,15,15,100.0g,0.00kg,TRACKED
16:25:25,0,16,16,372.1g,0.00kg,TRACKED
16:25:25,0,17,17,100.0g,0.00kg,TRACKED
16:25:25,0,18,18,334.8g,0.00kg,TRACKED
16:25:25,0,19,19,0.0g,0.00kg,TRACKED
16:25:27,2,20,20,102.4g,5.12kg,TRACKED
16:25:27,2,21,21,0.0g,5.12kg,TRACKED
16:25:27,2,22,22,488.6g,5.12kg,TRACKED
16:25:28,4,23,38,100.0g,5.99kg,TRACKED
16:25:29,5,24,43,951.3g,5.85kg,TRACKED
16:25:29,5,25,51,702.3g,5.85kg,TRACKED
16:25:29,6,26,57,522.1g,7.51kg,TRACKED
16:25:30,7,27,60,0.0g,8.19kg,TRACKED
16:25:31,8,28,64,0.0g,8.11kg,TRACKED
16:25:31,9,29,66,239.5g,7.92kg,TRACKED
16:25:31,9,30,68,0.0g,7.92kg,TRACKED
16:25:31,9,31,70,320.0g,7.92kg,TRACKED
16:25:33,12,32,83,352.9g,8.16kg,TRACKED
16:25:33,12,33,84,0.0g,8.16kg,TRACKED
16:25:33,12,34,88,360.8g,8.16kg,TRACKED
16:25:36,16,35,118,1009.7g,10.26kg,TRACKED
16:25:36,16,36,122,478.6g,10.26kg,TRACKED
16:25:38,19,37,137,920.5g,11.60kg,TRACKED
16:25:38,19,38,139,0.0g,11.60kg,TRACKED
16:25:38,19,39,140,687.7g,11.60kg,TRACKED
16:25:38,19,40,142,362.0g,11.60kg,TRACKED
16:25:41,24,41,168,0.0g,13.68kg,TRACKED
16:25:43,26,42,179,0.0g,13.82kg,TRACKED
16:25:44,28,43,183,1200.0g,14.02kg,TRACKED
16:25:45,29,44,190,0.0g,15.22kg,TRACKED
16:25:46,31,45,201,100.0g,15.53kg,TRACKED
16:25:47,32,46,211,0.0g,15.92kg,TRACKED
16:25:47,32,47,212,314.2g,15.92kg,TRACKED
16:25:48,35,48,218,0.0g,16.41kg,TRACKED
16:25:55,45,49,233,0.0g,16.88kg,TRACKED
