Timestamp,Frame,Total_Fish,Status
16:29:29,0,1,TRACKING
16:29:29,0,2,TRACKING
16:29:29,0,3,TRACKING
16:29:29,0,4,TRACKING
16:29:29,0,5,TRACKING
16:29:29,0,6,TRACKING
16:29:29,0,7,TRACKING
16:29:29,0,8,TRACKING
16:29:29,0,9,TRACKING
16:29:29,0,10,TRACKING
16:29:29,0,11,TRACKING
16:29:29,0,12,TRACKING
16:29:29,0,13,TRACKING
16:29:29,0,14,TRACKING
16:29:29,0,15,TRACKING
16:29:29,0,16,TRACKING
16:29:29,0,17,TRACKING
16:29:29,0,18,TRACKING
16:29:29,0,19,TRACKING
16:29:30,2,20,TRACKING
16:29:33,5,21,TRACKING
16:29:35,8,22,TRACKING
16:29:37,12,23,TRACKING
16:29:37,12,24,TRACKING
16:29:40,16,25,TRACKING
16:29:41,18,26,TRACKING
16:29:42,19,27,TRACKING
16:29:42,19,28,TRACKING
16:29:43,21,29,TRACKING
16:29:46,24,30,TRACKING
16:29:47,26,31,TRACKING
16:29:51,32,32,TRACKING
16:29:51,32,33,TRACKING
16:29:53,35,34,TRACKING
16:29:55,38,35,TRACKING
