Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
14:37:26,0,1,1,123.0g,0.00kg,TRACKED
14:37:26,0,2,2,0.0g,0.00kg,TRACKED
14:37:26,0,3,3,110.3g,0.00kg,TRACKED
14:37:26,0,4,4,0.0g,0.00kg,TRACKED
14:37:26,0,5,5,0.0g,0.00kg,TRACKED
14:37:26,0,6,6,152.9g,0.00kg,TRACKED
14:37:26,0,7,7,32.3g,0.00kg,TRACKED
14:37:26,0,8,8,0.0g,0.00kg,TRACKED
14:37:26,0,9,9,13.6g,0.00kg,TRACKED
14:37:26,0,10,10,0.0g,0.00kg,TRACKED
14:37:26,0,11,11,3.8g,0.00kg,TRACKED
14:37:26,0,12,12,0.0g,0.00kg,TRACKED
14:37:26,0,13,13,0.0g,0.00kg,TRACKED
14:37:26,0,14,14,0.0g,0.00kg,TRACKED
14:37:31,4,15,26,840.3g,0.56kg,TRACKED
14:37:31,4,16,29,0.0g,0.56kg,TRACKED
14:37:32,5,17,30,311.1g,1.42kg,TRACKED
14:37:38,10,18,50,0.0g,5.33kg,TRACKED
14:37:38,10,19,51,539.0g,5.33kg,TRACKED
14:37:38,10,20,52,777.5g,5.33kg,TRACKED
14:37:43,14,21,71,1091.7g,6.74kg,TRACKED
14:37:43,14,22,73,0.0g,6.74kg,TRACKED
14:37:44,15,23,75,152.8g,7.84kg,TRACKED
14:37:44,15,24,78,179.6g,7.84kg,TRACKED
14:37:48,18,25,89,26.8g,8.37kg,TRACKED
14:37:48,18,26,90,32.7g,8.37kg,TRACKED
14:37:50,20,27,91,36.2g,10.25kg,TRACKED
14:37:55,25,28,96,0.0g,15.18kg,TRACKED
14:38:00,29,29,106,0.0g,15.19kg,TRACKED
14:38:01,30,30,113,0.0g,15.19kg,TRACKED
14:38:01,30,31,114,137.1g,15.19kg,TRACKED
14:38:04,32,32,122,365.5g,15.33kg,TRACKED
14:38:04,32,33,123,426.3g,15.33kg,TRACKED
14:38:04,32,34,124,4966.8g,15.33kg,TRACKED
14:38:04,32,35,125,85.1g,15.33kg,TRACKED
14:38:04,32,36,126,0.0g,15.33kg,TRACKED
14:38:04,32,37,127,127.1g,15.33kg,TRACKED
14:38:04,32,38,128,1198.0g,15.33kg,TRACKED
14:38:04,32,39,129,108.9g,15.33kg,TRACKED
14:38:04,32,40,130,242.3g,15.33kg,TRACKED
14:38:19,46,41,135,0.0g,21.41kg,TRACKED
14:38:22,49,42,137,699.4g,21.52kg,TRACKED
14:38:22,49,43,138,243.5g,21.52kg,TRACKED
14:38:22,49,44,139,39.7g,21.52kg,TRACKED
14:38:22,49,45,140,38.5g,21.52kg,TRACKED
14:38:22,49,46,141,42.3g,21.52kg,TRACKED
14:38:22,49,47,142,0.0g,21.52kg,TRACKED
14:38:22,49,48,143,0.0g,21.52kg,TRACKED
14:38:22,49,49,144,0.0g,21.52kg,TRACKED
14:38:22,49,50,146,3.7g,21.52kg,TRACKED
14:38:26,52,51,160,10.2g,22.56kg,TRACKED
14:38:26,52,52,161,69.6g,22.56kg,TRACKED
14:38:26,52,53,162,0.0g,22.56kg,TRACKED
14:38:26,52,54,163,0.0g,22.56kg,TRACKED
14:38:30,54,55,174,0.0g,22.62kg,TRACKED
14:38:30,54,56,175,0.0g,22.62kg,TRACKED
14:38:35,57,57,189,9.6g,22.57kg,TRACKED
14:38:37,58,58,193,0.0g,22.59kg,TRACKED
