Timestamp,Frame,Total_Fish,Status
19:35:48,0,1,TRACKED
19:35:48,0,2,TRACKED
19:35:48,0,3,TRACKED
19:35:48,0,4,TRACKED
19:35:48,0,5,TRACKED
19:35:48,0,6,TRACKED
19:35:48,0,7,TRACKED
19:35:48,0,8,TRACKED
19:35:48,0,9,TRACKED
19:35:48,0,10,TRACKED
19:35:48,0,11,TRACKED
19:35:48,0,12,TRACKED
19:35:48,0,13,TRACKED
19:35:48,0,14,TRACKED
19:35:48,0,15,TRACKED
19:35:48,0,16,TRACKED
19:35:48,0,17,TRACKED
19:35:48,0,18,TRACKED
19:35:48,0,19,TRACKED
19:35:49,1,20,TRACKED
19:35:49,1,21,TRACKED
19:35:49,1,22,TRACKED
19:35:49,1,23,TRACKED
19:35:50,2,24,TRACKED
19:35:50,2,25,TRACKED
19:35:50,2,26,TRACKED
19:35:53,7,27,TRACKED
19:35:53,7,28,TRACKED
19:35:58,14,29,TRACKED
19:36:00,16,30,TRACKED
19:36:01,18,31,TRACKED
19:36:12,34,32,TRACKED
19:36:13,35,33,TRACKED
19:36:17,40,34,TRACKED
19:36:17,40,35,TRACKED
19:36:17,40,36,TRACKED
19:36:17,40,37,TRACKED
19:36:17,40,38,TRACKED
19:36:19,43,39,TRACKED
19:36:21,47,40,TRACKED
19:36:21,47,41,TRACKED
19:36:22,48,42,TRACKED
19:36:22,48,43,TRACKED
19:36:25,53,44,TRACKED
19:36:26,54,45,TRACKED
