Timestamp,Frame,Total_Fish,Status
17:07:34,0,1,TRACKING
17:07:34,0,2,TRACKING
17:07:34,0,3,TRACKING
17:07:34,0,4,TRACKING
17:07:34,0,5,TRACKING
17:07:34,0,6,TRACKING
17:07:34,0,7,TRACKING
17:07:34,0,8,TRACKING
17:07:34,0,9,TRACKING
17:07:34,0,10,TRACKING
17:07:34,0,11,TRACKING
17:07:34,0,12,TRACKING
17:07:34,0,13,TRACKING
17:07:34,0,14,TRACKING
17:07:34,0,15,TRACKING
17:07:37,4,16,TRACKING
17:07:37,4,17,TRACKING
17:07:38,5,18,TRACKING
17:07:38,6,19,TRACKING
17:07:39,7,20,TRACKING
17:07:40,9,21,TRACKING
17:07:40,9,22,TRACKING
17:07:47,18,23,TRACKING
17:07:47,18,24,TRACKING
17:07:48,20,25,TRACKING
17:07:49,21,26,TRACKING
17:07:50,23,27,TRACKING
17:07:51,25,28,TRACKING
