Timestamp,Frame,Total_Fish,Status
14:01:58,0,1,TRACKING
14:01:58,0,2,TRACKING
14:01:58,0,3,TRACKING
14:01:58,0,4,TRACKING
14:01:58,0,5,TRACKING
14:01:58,0,6,TRACKING
14:01:58,0,7,TRACKING
14:01:58,0,8,TRACKING
14:01:58,0,9,TRACKING
14:01:58,0,10,TRACKING
14:01:58,0,11,TRACKING
14:01:58,0,12,TRACKING
14:01:58,0,13,TRACKING
14:01:58,0,14,TRACKING
14:01:58,0,15,TRACKING
14:01:58,0,16,TRACKING
14:01:58,0,17,TRACKING
14:01:58,0,18,TRACKING
14:01:58,0,19,TRACKING
14:01:59,2,20,TRACKING
14:02:02,6,21,TRACKING
14:02:02,7,22,TRACKING
14:02:04,10,23,TRACKING
14:02:06,13,24,TRACKING
14:02:07,14,25,TRACKING
14:02:10,19,26,TRACKING
14:02:11,20,27,TRACKING
14:02:11,20,28,TRACKING
14:02:11,21,29,TRACKING
14:02:14,25,30,TRACKING
14:02:18,31,31,TRACKING
14:02:20,34,32,TRACKING
14:02:22,37,33,TRACKING
14:02:23,40,34,TRACKING
