Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
16:40:59,0,1,1,494.6g,0.00kg,TRACKED
16:40:59,0,2,2,0.0g,0.00kg,TRACKED
16:40:59,0,3,3,221.3g,0.00kg,TRACKED
16:40:59,0,4,4,166.6g,0.00kg,TRACKED
16:40:59,0,5,5,130.9g,0.00kg,TRACKED
16:40:59,0,6,6,132.2g,0.00kg,TRACKED
16:40:59,0,7,7,0.0g,0.00kg,TRACKED
16:40:59,0,8,8,100.0g,0.00kg,TRACKED
16:40:59,0,9,9,0.0g,0.00kg,TRACKED
16:40:59,0,10,10,0.0g,0.00kg,TRACKED
16:40:59,0,11,11,0.0g,0.00kg,TRACKED
16:40:59,0,12,12,100.0g,0.00kg,TRACKED
16:41:05,9,13,40,156.7g,1.32kg,TRACKED
16:41:06,10,14,48,100.0g,1.47kg,TRACKED
16:41:06,11,15,55,110.1g,1.57kg,TRACKED
16:41:13,18,16,90,506.1g,2.66kg,TRACKED
16:41:15,21,17,101,144.3g,3.08kg,TRACKED
16:41:16,22,18,111,234.6g,3.33kg,TRACKED
16:41:17,23,19,120,0.0g,3.53kg,TRACKED
16:41:17,23,20,125,0.0g,3.53kg,TRACKED
16:41:19,26,21,143,187.3g,3.54kg,TRACKED
16:41:19,26,22,145,0.0g,3.54kg,TRACKED
16:41:19,26,23,146,100.0g,3.54kg,TRACKED
16:41:20,27,24,151,205.4g,3.90kg,TRACKED
16:41:20,27,25,152,0.0g,3.90kg,TRACKED
16:41:20,27,26,153,0.0g,3.90kg,TRACKED
16:41:23,31,27,166,0.0g,4.10kg,TRACKED
16:41:23,31,28,167,233.4g,4.10kg,TRACKED
16:41:26,34,29,182,0.0g,4.27kg,TRACKED
16:41:27,35,30,186,0.0g,4.26kg,TRACKED
16:41:27,35,31,188,235.3g,4.26kg,TRACKED
16:41:29,38,32,200,155.6g,4.51kg,TRACKED
16:41:29,38,33,203,0.0g,4.51kg,TRACKED
16:41:32,41,34,217,0.0g,4.69kg,TRACKED
16:41:32,41,35,222,228.6g,4.69kg,TRACKED
16:41:33,42,36,227,686.3g,4.92kg,TRACKED
16:41:33,43,37,230,156.7g,5.66kg,TRACKED
16:41:35,46,38,237,100.0g,6.10kg,TRACKED
16:41:38,50,39,255,100.0g,6.42kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,39,TOTAL BIOMASS:,6.56kg
