Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
16:34:20,0,1,1,494.6g,0.00kg,TRACKED
16:34:20,0,2,2,0.0g,0.00kg,TRACKED
16:34:20,0,3,3,221.3g,0.00kg,TRACKED
16:34:20,0,4,4,166.6g,0.00kg,TRACKED
16:34:20,0,5,5,130.9g,0.00kg,TRACKED
16:34:20,0,6,6,132.2g,0.00kg,TRACKED
16:34:20,0,7,7,0.0g,0.00kg,TRACKED
16:34:20,0,8,8,100.0g,0.00kg,TRACKED
16:34:20,0,9,9,0.0g,0.00kg,TRACKED
16:34:20,0,10,10,0.0g,0.00kg,TRACKED
16:34:20,0,11,11,0.0g,0.00kg,TRACKED
16:34:20,0,12,12,100.0g,0.00kg,TRACKED
16:34:23,4,13,16,0.0g,1.34kg,TRACKED
16:34:26,9,14,32,0.0g,1.31kg,TRACKED
16:34:27,10,15,41,100.0g,1.30kg,TRACKED
16:34:27,11,16,43,103.8g,1.40kg,TRACKED
16:34:27,11,17,44,113.7g,1.40kg,TRACKED
16:34:27,11,18,45,151.3g,1.40kg,TRACKED
16:34:28,12,19,46,0.0g,1.77kg,TRACKED
16:34:28,13,20,52,100.0g,1.97kg,TRACKED
16:34:31,17,21,73,286.8g,2.35kg,TRACKED
16:34:32,19,22,81,185.3g,2.59kg,TRACKED
16:34:34,22,23,92,0.0g,3.04kg,TRACKED
16:34:34,22,24,93,282.8g,3.04kg,TRACKED
16:34:35,23,25,97,417.7g,3.36kg,TRACKED
16:34:36,25,26,111,248.7g,3.60kg,TRACKED
16:34:36,25,27,112,196.2g,3.60kg,TRACKED
16:34:37,26,28,124,0.0g,3.86kg,TRACKED
16:34:38,28,29,130,428.7g,3.87kg,TRACKED
16:34:38,28,30,134,142.8g,3.87kg,TRACKED
16:34:39,29,31,139,0.0g,4.45kg,TRACKED
16:34:39,30,32,147,0.0g,4.43kg,TRACKED
16:34:39,30,33,148,0.0g,4.43kg,TRACKED
16:34:42,34,34,161,0.0g,4.48kg,TRACKED
16:34:42,34,35,162,242.1g,4.48kg,TRACKED
16:34:42,35,36,166,281.7g,4.73kg,TRACKED
16:34:44,37,37,177,0.0g,4.94kg,TRACKED
16:34:44,38,38,182,244.1g,4.93kg,TRACKED
16:34:46,41,39,194,161.5g,5.16kg,TRACKED
16:34:46,41,40,197,0.0g,5.16kg,TRACKED
16:34:48,44,41,211,0.0g,5.34kg,TRACKED
16:34:48,44,42,216,237.2g,5.34kg,TRACKED
16:34:49,45,43,221,712.1g,5.58kg,TRACKED
16:34:49,46,44,224,162.6g,6.35kg,TRACKED
16:34:51,49,45,231,100.0g,6.81kg,TRACKED
16:34:54,53,46,249,100.0g,7.30kg,TRACKED
