Timestamp,Frame,Total_Fish,Status
13:01:35,0,1,TRACKING
13:01:35,0,2,TRACKING
13:01:35,0,3,TRACKING
13:01:35,0,4,TRACKING
13:01:35,0,5,TRACKING
13:01:35,0,6,TRACKING
13:01:35,0,7,TRACKING
13:01:35,0,8,TRACKING
13:01:35,0,9,TRACKING
13:01:35,0,10,TRACKING
13:01:35,0,11,TRACKING
13:01:35,0,12,TRACKING
13:01:35,0,13,TRACKING
13:01:35,0,14,TRACKING
13:01:35,0,15,TRACKING
13:01:38,4,16,TRACKING
13:01:39,5,17,TRACKING
13:01:39,5,18,TRACKING
13:01:40,6,19,TRACKING
13:01:40,6,20,TRACKING
13:01:41,8,21,TRACKING
13:01:41,8,22,TRACKING
13:01:42,9,23,TRACKING
13:01:48,18,24,TRACKING
13:01:48,18,25,TRACKING
13:01:50,21,26,TRACKING
13:01:50,21,27,TRACKING
13:01:52,24,28,TRACKING
13:01:53,26,29,TRACKING
13:01:54,27,30,TRACKING
