Timestamp,Frame,Total_Fish,Status
16:01:02,0,1,TRACKING
16:01:02,0,2,TRACKING
16:01:02,0,3,TRACKING
16:01:02,0,4,TRACKING
16:01:02,0,5,TRACKING
16:01:02,0,6,TRACKING
16:01:02,0,7,TRACKING
16:01:02,0,8,TRACKING
16:01:02,0,9,TRACKING
16:01:02,0,10,TRACKING
16:01:02,0,11,TRACKING
16:01:02,0,12,TRACKING
16:01:06,6,13,TRACKING
16:01:07,8,14,TRACKING
16:01:08,10,15,TRACKING
16:01:19,26,16,TRACKING
16:01:20,27,17,TRACKING
16:01:23,32,18,TRACKING
16:01:23,32,19,TRACKING
16:01:31,45,20,TRACKING
16:01:34,49,21,TRACKING
