Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
15:28:56,0,1,1,123.0g,0.00kg,TRACKED
15:28:56,0,2,2,0.0g,0.00kg,TRACKED
15:28:56,0,3,3,110.3g,0.00kg,TRACKED
15:28:56,0,4,4,0.0g,0.00kg,TRACKED
15:28:56,0,5,5,0.0g,0.00kg,TRACKED
15:28:56,0,6,6,152.9g,0.00kg,TRACKED
15:28:56,0,7,7,100.0g,0.00kg,TRACKED
15:28:56,0,8,8,0.0g,0.00kg,TRACKED
15:28:56,0,9,9,100.0g,0.00kg,TRACKED
15:28:56,0,10,10,0.0g,0.00kg,TRACKED
15:28:56,0,11,11,100.0g,0.00kg,TRACKED
15:28:56,0,12,12,0.0g,0.00kg,TRACKED
15:28:56,0,13,13,0.0g,0.00kg,TRACKED
15:28:56,0,14,14,0.0g,0.00kg,TRACKED
15:28:59,2,15,17,100.0g,0.75kg,TRACKED
15:29:00,3,16,21,451.5g,0.94kg,TRACKED
15:29:01,4,17,24,1022.5g,1.40kg,TRACKED
15:29:02,5,18,29,1200.0g,2.45kg,TRACKED
15:29:08,10,19,54,0.0g,4.15kg,TRACKED
15:29:08,10,20,55,1200.0g,4.15kg,TRACKED
15:29:11,13,21,72,0.0g,5.37kg,TRACKED
15:29:12,14,22,75,0.0g,5.37kg,TRACKED
15:29:13,15,23,77,361.5g,5.47kg,TRACKED
15:29:13,15,24,79,100.0g,5.47kg,TRACKED
15:29:19,20,25,97,100.0g,5.91kg,TRACKED
15:29:20,21,26,99,100.0g,5.98kg,TRACKED
15:29:31,30,27,123,1200.0g,6.64kg,TRACKED
15:29:33,32,28,132,910.5g,7.84kg,TRACKED
15:29:33,32,29,137,110.7g,7.84kg,TRACKED
15:29:34,33,30,141,677.5g,9.41kg,TRACKED
15:29:34,33,31,142,1200.0g,9.41kg,TRACKED
15:29:34,33,32,143,157.7g,9.41kg,TRACKED
15:29:34,33,33,144,201.9g,9.41kg,TRACKED
15:29:34,33,34,145,449.2g,9.41kg,TRACKED
15:29:53,50,35,151,1200.0g,12.32kg,TRACKED
15:29:53,50,36,152,451.4g,12.32kg,TRACKED
15:29:53,50,37,153,100.0g,12.32kg,TRACKED
15:29:53,50,38,154,100.0g,12.32kg,TRACKED
15:29:53,50,39,155,0.0g,12.32kg,TRACKED
15:29:53,50,40,156,0.0g,12.32kg,TRACKED
15:29:53,50,41,157,0.0g,12.32kg,TRACKED
15:29:53,50,42,159,100.0g,12.32kg,TRACKED
15:29:56,53,43,173,100.0g,14.36kg,TRACKED
15:29:56,53,44,174,0.0g,14.36kg,TRACKED
15:29:56,53,45,175,129.1g,14.36kg,TRACKED
15:29:56,53,46,176,0.0g,14.36kg,TRACKED
15:29:56,53,47,177,0.0g,14.36kg,TRACKED
15:29:59,55,48,188,0.0g,14.48kg,TRACKED
15:29:59,55,49,189,0.0g,14.48kg,TRACKED
15:30:03,58,50,203,0.0g,14.40kg,TRACKED
15:30:03,58,51,204,100.0g,14.40kg,TRACKED
