Timestamp,Frame,Total_Fish,Status
16:06:53,0,1,TRACKING
16:06:53,0,2,TRACKING
16:06:53,0,3,TRACKING
16:06:53,0,4,TRACKING
16:06:53,0,5,TRACKING
16:06:53,0,6,TRACKING
16:06:53,0,7,TRACKING
16:06:53,0,8,TRACKING
16:06:53,0,9,TRACKING
16:06:53,0,10,TRACKING
16:06:53,0,11,TRACKING
16:06:53,0,12,TRACKING
16:06:53,0,13,TRACKING
16:06:53,0,14,TRACKING
16:06:56,4,15,TRACKING
16:06:57,5,16,TRACKING
16:07:00,10,17,TRACKING
16:07:04,15,18,TRACKING
16:07:05,17,19,TRACKING
16:07:09,22,20,TRACKING
16:07:10,24,21,TRACKING
16:07:11,25,22,TRACKING
16:07:17,33,23,TRACKING
16:07:18,34,24,TRACKING
16:07:23,41,25,TRACKING
16:07:25,44,26,TRACKING
16:07:28,48,27,TRACKING
16:07:28,48,28,TRACKING
16:07:28,48,29,TRACKING
16:07:31,52,30,TRACKING
16:07:31,52,31,TRACKING
16:07:31,52,32,TRACKING
16:07:31,53,33,TRACKING
16:07:31,53,34,TRACKING
16:07:31,53,35,TRACKING
16:07:31,53,36,TRACKING
16:07:43,70,37,TRACKING
16:07:43,70,38,TRACKING
16:07:43,70,39,TRACKING
16:07:43,70,40,TRACKING
16:07:43,70,41,TRACKING
16:07:43,70,42,TRACKING
16:07:43,70,43,TRACKING
16:07:43,70,44,TRACKING
16:07:46,73,45,TRACKING
16:07:46,73,46,TRACKING
16:07:47,75,47,TRACKING
16:07:47,75,48,TRACKING
16:07:49,78,49,TRACKING
