Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
00:16:08,0,1,1,143.6g,0.00kg,TRACKED
00:16:08,0,2,2,100.0g,0.00kg,TRACKED
00:16:08,0,3,3,100.0g,0.00kg,TRACKED
00:16:08,0,4,4,100.0g,0.00kg,TRACKED
00:16:08,0,5,5,100.0g,0.00kg,TRACKED
00:16:08,0,6,6,173.2g,0.00kg,TRACKED
00:16:08,0,7,7,378.0g,0.00kg,TRACKED
00:16:08,0,8,8,100.0g,0.00kg,TRACKED
00:16:08,0,9,9,100.0g,0.00kg,TRACKED
00:16:08,0,10,10,0.0g,0.00kg,TRACKED
00:16:08,0,11,11,322.6g,0.00kg,TRACKED
00:16:08,0,12,12,372.9g,0.00kg,TRACKED
00:16:08,0,13,13,604.4g,0.00kg,TRACKED
00:16:08,0,14,14,1200.0g,0.00kg,TRACKED
00:16:08,0,15,15,310.0g,0.00kg,TRACKED
00:16:08,0,16,16,381.7g,0.00kg,TRACKED
00:16:08,0,17,17,310.0g,0.00kg,TRACKED
00:16:08,0,18,18,481.3g,0.00kg,TRACKED
00:16:08,0,19,19,0.0g,0.00kg,TRACKED
00:16:11,3,20,38,310.0g,6.75kg,TRACKED
00:16:12,4,21,44,605.8g,6.97kg,TRACKED
00:16:13,5,22,52,626.6g,7.50kg,TRACKED
00:16:13,5,23,55,0.0g,7.50kg,TRACKED
00:16:15,7,24,67,968.9g,8.14kg,TRACKED
00:16:16,8,25,73,421.6g,9.11kg,TRACKED
00:16:16,8,26,81,0.0g,9.11kg,TRACKED
00:16:19,10,27,97,1200.0g,9.68kg,TRACKED
00:16:20,11,28,101,697.1g,11.03kg,TRACKED
00:16:21,12,29,110,0.0g,11.60kg,TRACKED
00:16:22,13,30,117,697.0g,11.63kg,TRACKED
00:16:22,13,31,121,877.5g,11.63kg,TRACKED
00:16:24,15,32,133,0.0g,13.18kg,TRACKED
00:16:28,19,33,149,0.0g,13.28kg,TRACKED
00:16:30,21,34,163,334.8g,13.32kg,TRACKED
00:16:30,21,35,164,0.0g,13.32kg,TRACKED
00:16:30,21,36,165,905.7g,13.32kg,TRACKED
00:16:32,23,37,170,0.0g,14.70kg,TRACKED
00:16:35,26,38,173,457.1g,15.05kg,TRACKED
00:16:40,29,39,180,320.1g,15.34kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,39,TOTAL BIOMASS:,15.66kg
