Timestamp,Frame,Total_Fish,Status
20:11:12,0,1,TRACKED
20:11:12,0,2,TRACKED
20:11:12,0,3,TRACKED
20:11:12,0,4,TRACKED
20:11:12,0,5,TRACKED
20:11:12,0,6,TRACKED
20:11:12,0,7,TRACKED
20:11:12,0,8,TRACKED
20:11:12,0,9,TRACKED
20:11:12,0,10,TRACKED
20:11:12,0,11,TRACKED
20:11:12,0,12,TRACKED
20:11:12,0,13,TRACKED
20:11:12,0,14,TRACKED
20:11:12,0,15,TRACKED
20:11:12,0,16,TRACKED
20:11:12,0,17,TRACKED
20:11:12,0,18,TRACKED
20:11:12,0,19,TRACKED
20:11:13,2,20,TRACKED
20:11:16,6,21,TRACKED
20:11:17,7,22,TRACKED
20:11:22,15,23,TRACKED
20:11:30,25,24,TRACKED
20:11:32,28,25,TRACKED
20:11:34,32,26,TRACKED
20:11:34,32,27,TRACKED
20:11:37,36,28,TRACKED
20:11:42,43,29,TRACKED
20:11:43,45,30,TRACKED
20:11:47,51,31,TRACKED
20:11:52,57,32,TRACKED
20:11:54,59,33,TRACKED
20:11:56,62,34,TRACKED
20:11:56,62,35,TRACKED
20:11:57,63,36,TRACKED
20:11:57,63,37,TRACKED
20:11:57,63,38,TRACKED
