Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
16:49:42,0,1,1,100.0g,0.00kg,TRACKED
16:49:42,0,2,2,0.0g,0.00kg,TRACKED
16:49:42,0,3,3,100.0g,0.00kg,TRACKED
16:49:42,0,4,4,100.0g,0.00kg,TRACKED
16:49:42,0,5,5,100.0g,0.00kg,TRACKED
16:49:42,0,6,6,100.0g,0.00kg,TRACKED
16:49:42,0,7,7,0.0g,0.00kg,TRACKED
16:49:42,0,8,8,100.0g,0.00kg,TRACKED
16:49:42,0,9,9,100.0g,0.00kg,TRACKED
16:49:42,0,10,10,100.0g,0.00kg,TRACKED
16:49:42,0,11,11,100.0g,0.00kg,TRACKED
16:49:45,4,12,15,100.0g,0.90kg,TRACKED
16:49:45,4,13,16,194.7g,0.90kg,TRACKED
16:49:47,7,14,23,0.0g,1.27kg,TRACKED
16:49:48,9,15,33,0.0g,1.47kg,TRACKED
16:49:48,9,16,35,110.1g,1.47kg,TRACKED
16:49:48,9,17,38,788.9g,1.47kg,TRACKED
16:49:50,12,18,45,271.3g,2.75kg,TRACKED
16:49:51,13,19,49,100.0g,3.05kg,TRACKED
16:49:52,15,20,58,100.0g,3.16kg,TRACKED
16:49:54,17,21,65,108.2g,3.24kg,TRACKED
16:49:56,20,22,72,255.3g,3.29kg,TRACKED
16:50:01,28,23,87,118.0g,3.63kg,TRACKED
16:50:03,31,24,98,113.8g,3.74kg,TRACKED
16:50:03,31,25,99,124.8g,3.74kg,TRACKED
16:50:08,38,26,119,100.0g,4.02kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,26,TOTAL BIOMASS:,4.10kg
