Timestamp,Frame,Total_Fish,ID,Weight,Status
19:24:00,0,1,1,511.5g,TRACKED
19:24:00,0,2,2,0.0g,TRACKED
19:24:00,0,3,3,512.7g,TRACKED
19:24:00,0,4,4,0.0g,TRACKED
19:24:00,0,5,5,0.0g,TRACKED
19:24:00,0,6,6,647.8g,TRACKED
19:24:00,0,7,7,154.8g,TRACKED
19:24:00,0,8,8,0.0g,TRACKED
19:24:00,0,9,9,64.9g,TRACKED
19:24:00,0,10,10,0.0g,TRACKED
19:24:00,0,11,11,18.1g,TRACKED
19:24:00,0,12,12,0.0g,TRACKED
19:24:00,0,13,13,0.0g,TRACKED
19:24:00,0,14,14,0.0g,TRACKED
19:24:02,3,15,21,238.0g,TRACKED
19:24:03,4,16,25,657.1g,TRACKED
19:24:06,9,17,38,206.1g,TRACKED
19:24:07,10,18,39,185.6g,TRACKED
19:24:08,11,19,43,369.6g,TRACKED
19:24:09,12,20,45,2538.6g,TRACKED
19:24:11,15,21,59,0.0g,TRACKED
19:24:11,15,22,64,0.0g,TRACKED
19:24:11,16,23,68,2575.3g,TRACKED
19:24:16,22,24,92,0.0g,TRACKED
19:24:17,24,25,94,718.4g,TRACKED
19:24:18,25,26,96,77.9g,TRACKED
19:24:20,28,27,105,0.0g,TRACKED
19:24:22,31,28,106,164.5g,TRACKED
19:24:23,32,29,107,0.0g,TRACKED
19:24:25,35,30,112,153.7g,TRACKED
19:24:26,37,31,114,0.0g,TRACKED
19:24:29,41,32,120,487.4g,TRACKED
19:24:29,41,33,121,0.0g,TRACKED
19:24:31,43,34,123,0.0g,TRACKED
19:24:34,48,35,139,0.0g,TRACKED
19:24:36,50,36,151,0.0g,TRACKED
19:24:36,50,37,152,462.1g,TRACKED
19:24:37,52,38,161,2399.9g,TRACKED
19:24:37,52,39,166,202.4g,TRACKED
19:24:38,53,40,169,24342.5g,TRACKED
19:24:38,53,41,170,1545.3g,TRACKED
19:24:38,53,42,171,0.0g,TRACKED
19:24:38,53,43,172,557.8g,TRACKED
19:24:38,53,44,173,4202.0g,TRACKED
19:24:38,53,45,174,984.7g,TRACKED
19:24:48,68,46,179,0.0g,TRACKED
19:24:50,71,47,181,3049.1g,TRACKED
19:24:50,71,48,182,856.6g,TRACKED
19:24:50,71,49,183,159.7g,TRACKED
19:24:50,71,50,184,166.2g,TRACKED
19:24:50,71,51,185,187.1g,TRACKED
19:24:50,71,52,186,0.0g,TRACKED
19:24:50,71,53,187,0.0g,TRACKED
19:24:50,71,54,188,0.0g,TRACKED
19:24:50,71,55,189,0.0g,TRACKED
19:24:50,71,56,191,14.3g,TRACKED
19:24:52,74,57,205,37.9g,TRACKED
19:24:52,74,58,206,315.2g,TRACKED
19:24:52,74,59,207,0.0g,TRACKED
19:24:52,74,60,208,0.0g,TRACKED
19:24:53,76,61,219,0.0g,TRACKED
19:24:53,76,62,220,0.0g,TRACKED
19:24:55,79,63,234,45.3g,TRACKED
