Timestamp,Frame,Total_Fish,ID,Weight_G,Total_Biomass_KG,Status
23:17:40,0,1,1,100.0g,0.00kg,TRACKED
23:17:40,0,2,2,0.0g,0.00kg,TRACKED
23:17:40,0,3,3,100.0g,0.00kg,TRACKED
23:17:40,0,4,4,100.0g,0.00kg,TRACKED
23:17:40,0,5,5,100.0g,0.00kg,TRACKED
23:17:40,0,6,6,100.0g,0.00kg,TRACKED
23:17:40,0,7,7,0.0g,0.00kg,TRACKED
23:17:40,0,8,8,100.0g,0.00kg,TRACKED
23:17:40,0,9,9,100.0g,0.00kg,TRACKED
23:17:40,0,10,10,100.0g,0.00kg,TRACKED
23:17:40,0,11,11,100.0g,0.00kg,TRACKED
23:17:42,3,12,14,450.0g,0.90kg,TRACKED
23:17:45,7,13,20,0.0g,3.55kg,TRACKED
23:17:47,10,14,38,324.0g,3.78kg,TRACKED
23:17:49,13,15,48,302.2g,3.92kg,TRACKED
23:17:49,14,16,52,310.0g,4.23kg,TRACKED
23:17:51,16,17,60,336.6g,4.55kg,TRACKED
23:17:51,16,18,63,315.7g,4.55kg,TRACKED
23:17:51,17,19,64,312.5g,5.20kg,TRACKED
23:17:53,20,20,73,310.0g,5.49kg,TRACKED
23:17:54,21,21,76,244.4g,5.81kg,TRACKED
23:17:59,29,22,89,324.4g,6.11kg,TRACKED
23:18:01,32,23,99,320.7g,6.33kg,TRACKED
23:18:01,32,24,100,322.2g,6.33kg,TRACKED

FINAL SUMMARY,,,TOTAL FISH:,24,TOTAL BIOMASS:,6.98kg
