Timestamp,Frame,Total_Fish,Status
17:43:45,0,1,TRACKING
17:43:45,0,2,TRACKING
17:43:45,0,3,TRACKING
17:43:45,0,4,TRACKING
17:43:45,0,5,TRACKING
17:43:45,0,6,TRACKING
17:43:45,0,7,TRACKING
17:43:45,0,8,TRACKING
17:43:45,0,9,TRACKING
17:43:45,0,10,TRACKING
17:43:45,0,11,TRACKING
17:43:48,4,12,TRACKING
17:43:48,4,13,TRACKING
17:43:50,7,14,TRACKING
17:43:52,10,15,TRACKING
17:43:54,13,16,TRACKING
17:43:56,16,17,TRACKING
17:43:57,17,18,TRACKING
17:43:58,19,19,TRACKING
17:44:04,28,20,TRACKING
17:44:06,31,21,TRACKING
